Identificación del encuestado,Fecha de inicio,Fecha de fin,¿Conoce los nutrientes escenciales para que el cuerpo tenga un funcionamiento adecuado?,¿Cuál de los siguientes nutrientes concidera que consume más?,Considero que mi alimentación ___________ satisface mi actividad física diaria.,Considero que mi alimentación ___________ cubre los nutrientes escenciales,Entre semana ¿cuántas veces al dia come platillos preparados en casa?,Los fines de semana ¿cuántas veces al dia come platillos preparados en casa?,Huevo o lácteos,Café o té descafeinados,Café o té con cafeina,Refrescos o bebidas endulzadas,Refrescos bajos en calorias,Carne de res,Carne de pollo,Carne de cerdo,Pescados o mariscos,Nueces y semillas,Frutas,Verduras,Legumbres,Cereales o pastas,Dulces,Salchichas o carnes frias,Pan dulce,Suplementos alimenticios,Considera que llevar una alimentación saludable es:
4145407353,08/18/2015 02:26:18,08/18/2015 02:29:15,"Sí, la mayoria",Carbohidratos,Generalmente,Generalmente,3 veces al dia,1 vez al dia,Regulamente consumo,Regulamente consumo,Raras veces,Nada,Nada,Lo que más consumo,Regulamente consumo,Raras veces,Muy poco,Regulamente consumo,Muy poco,Regulamente consumo,Muy poco,Regulamente consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Raras veces,Cara y consume mucho tiempo prepararla
4145318768,08/18/2015 01:22:43,08/18/2015 01:25:24,"Sí, algunos",Carbohidratos,Ocasionalmente,Ocasionalmente,1 vez al dia,1 vez al dia,Muy poco,Nada,Lo que más consumo,Raras veces,Nada,Raras veces,Muy poco,Raras veces,Nada,Regulamente consumo,Raras veces,Raras veces,Raras veces,Regulamente consumo,Lo que más consumo,Raras veces,Lo que más consumo,Nada,"Barata, pero consume mucho tiempo prepararla"
4145119914,08/17/2015 23:08:33,08/17/2015 23:10:28,"Sí, la mayoria",Proteinas,Generalmente,Generalmente,Más de 3 veces al dia,1 vez al dia,Regulamente consumo,Muy poco,Raras veces,Muy poco,Nada,Regulamente consumo,Regulamente consumo,Muy poco,Raras veces,Raras veces,Muy poco,Muy poco,Muy poco,Raras veces,Raras veces,Nada,Muy poco,Nada,"Barata, pero consume mucho tiempo prepararla"
4144887178,08/17/2015 20:58:22,08/17/2015 21:00:59,"Sí, la mayoria",Carbohidratos,Generalmente,Generalmente,2 veces al dia,2 veces al dia,Regulamente consumo,Nada,Lo que más consumo,Raras veces,Nada,Regulamente consumo,Muy poco,Muy poco,Nada,Lo que más consumo,Lo que más consumo,Lo que más consumo,Muy poco,Lo que más consumo,Nada,Muy poco,Muy poco,Nada,No lo he considerado
4144397277,08/17/2015 17:23:55,08/17/2015 17:26:25,"Sí, todos",Carbohidratos,Generalmente,Generalmente,2 veces al dia,3 veces al dia,Regulamente consumo,Muy poco,Regulamente consumo,Raras veces,Nada,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Muy poco,Nada,"Barata, pero consume mucho tiempo prepararla"
4144191020,08/17/2015 15:55:12,08/17/2015 15:58:18,"Sí, algunos",Proteinas,Ocasionalmente,Ocasionalmente,2 veces al dia,1 vez al dia,Raras veces,Nada,Regulamente consumo,Raras veces,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Nada,Raras veces,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Nada,Cara y consume mucho tiempo prepararla
4144016808,08/17/2015 14:46:02,08/17/2015 14:48:39,Ninguno,Hidratos de carbono (azucares),Raras veces,Raras veces,Más de 3 veces al dia,Más de 3 veces al dia,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,No lo he considerado
4142819784,08/16/2015 22:38:02,08/16/2015 22:40:29,"Sí, la mayoria",Carbohidratos,Generalmente,Generalmente,2 veces al dia,3 veces al dia,Lo que más consumo,Muy poco,Muy poco,Raras veces,Raras veces,Regulamente consumo,Muy poco,Raras veces,Regulamente consumo,Muy poco,Regulamente consumo,Regulamente consumo,Raras veces,Muy poco,Raras veces,Nada,Lo que más consumo,Nada,"Barata, pero consume mucho tiempo prepararla"
4142787648,08/16/2015 21:59:55,08/16/2015 22:04:35,"Sí, la mayoria",Carbohidratos,Pocas veces,Generalmente,1 vez al dia,2 veces al dia,Regulamente consumo,Nada,Regulamente consumo,Regulamente consumo,Raras veces,Regulamente consumo,Regulamente consumo,Nada,Raras veces,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Lo que más consumo,Regulamente consumo,Raras veces,Regulamente consumo,Muy poco,Cara y consume mucho tiempo prepararla
4142695863,08/16/2015 20:12:37,08/16/2015 20:17:04,"Sí, todos",Proteinas,Generalmente,Generalmente,3 veces al dia,3 veces al dia,Lo que más consumo,Nada,Regulamente consumo,Raras veces,Nada,Raras veces,Lo que más consumo,Raras veces,Muy poco,Muy poco,Lo que más consumo,Lo que más consumo,Muy poco,Regulamente consumo,Raras veces,Raras veces,Muy poco,Raras veces,"Barata, pero consume mucho tiempo prepararla"
4142658226,08/16/2015 19:30:26,08/16/2015 19:32:14,"Sí, la mayoria",Carbohidratos,Pocas veces,Pocas veces,1 vez al dia,1 vez al dia,Muy poco,Muy poco,Regulamente consumo,Lo que más consumo,Regulamente consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Muy poco,Nada,Regulamente consumo,Muy poco,Muy poco,Muy poco,Lo que más consumo,Regulamente consumo,Regulamente consumo,Raras veces,"Barata, pero consume mucho tiempo prepararla"
4142650114,08/16/2015 19:20:56,08/16/2015 19:23:36,"Sí, todos",Carbohidratos,Generalmente,Generalmente,Más de 3 veces al dia,2 veces al dia,Raras veces,Nada,Regulamente consumo,Raras veces,Nada,Muy poco,Muy poco,Muy poco,Muy poco,Regulamente consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Raras veces,Raras veces,Nada,Lo que más consumo,"Barata, pero consume mucho tiempo prepararla"
4142624614,08/16/2015 18:52:42,08/16/2015 18:55:28,"Sí, todos",Hidratos de carbono (azucares),Generalmente,Generalmente,Más de 3 veces al dia,Más de 3 veces al dia,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Lo que más consumo,Lo que más consumo,Muy poco,No lo he considerado
4142522257,08/16/2015 17:02:23,08/16/2015 17:04:53,"Sí, la mayoria",Carbohidratos,Generalmente,Generalmente,3 veces al dia,1 vez al dia,Regulamente consumo,Regulamente consumo,Nada,Nada,Nada,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Lo que más consumo,Raras veces,Muy poco,Regulamente consumo,Nada,Cara y consume mucho tiempo prepararla
4142481616,08/16/2015 16:18:07,08/16/2015 16:19:56,"Sí, todos",Carbohidratos,Generalmente,Generalmente,1 vez al dia,2 veces al dia,,,,,,,,,,,,,,,,,,,
4142406994,08/16/2015 14:55:01,08/16/2015 14:58:41,"Sí, todos",Proteinas,Generalmente,Generalmente,1 vez al dia,2 veces al dia,Regulamente consumo,Nada,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Muy poco,Nada,Nada,Nada,"Barata, pero consume mucho tiempo prepararla"
4142283879,08/16/2015 12:31:02,08/16/2015 12:33:46,"Sí, algunos",Carbohidratos,Generalmente,Generalmente,2 veces al dia,1 vez al dia,Regulamente consumo,Raras veces,Regulamente consumo,Regulamente consumo,Nada,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Raras veces,Muy poco,Muy poco,Regulamente consumo,Muy poco,Regulamente consumo,Regulamente consumo,Nada,No lo he considerado
4142014554,08/16/2015 05:35:33,08/16/2015 05:38:03,"Sí, algunos",Fibra,Ocasionalmente,Pocas veces,1 vez al dia,3 veces al dia,Regulamente consumo,Muy poco,Lo que más consumo,Regulamente consumo,Nada,Raras veces,Muy poco,Nada,Muy poco,Regulamente consumo,Lo que más consumo,Lo que más consumo,Muy poco,Muy poco,Muy poco,Nada,Nada,Muy poco,Cara y consume mucho tiempo prepararla
4141954635,08/16/2015 03:54:13,08/16/2015 03:56:29,"Sí, todos",Carbohidratos,Generalmente,Generalmente,Más de 3 veces al dia,2 veces al dia,Muy poco,Lo que más consumo,Lo que más consumo,Raras veces,Raras veces,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Muy poco,Regulamente consumo,Raras veces,Nada,"Cara, pero no consume mucho tiempo prepararla"
4141914721,08/16/2015 02:54:48,08/16/2015 02:56:34,"Sí, la mayoria",Carbohidratos,Generalmente,Ocasionalmente,2 veces al dia,3 veces al dia,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Raras veces,Regulamente consumo,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Lo que más consumo,Raras veces,Regulamente consumo,Raras veces,Raras veces,"Barata, pero consume mucho tiempo prepararla"
4141806439,08/16/2015 00:23:03,08/16/2015 00:24:55,"Sí, algunos",Carbohidratos,Pocas veces,Generalmente,Más de 3 veces al dia,Más de 3 veces al dia,,,,,,,,,,,,,,,,,,,
4141804071,08/16/2015 00:20:02,08/16/2015 00:22:47,"Sí, la mayoria",Carbohidratos,Generalmente,Generalmente,1 vez al dia,2 veces al dia,Regulamente consumo,Nada,Regulamente consumo,Raras veces,Nada,Regulamente consumo,Muy poco,Raras veces,Raras veces,Muy poco,Regulamente consumo,Regulamente consumo,Raras veces,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Nada,No lo he considerado
4141712276,08/15/2015 22:16:24,08/15/2015 22:19:17,"Sí, todos",Proteinas,Generalmente,Generalmente,2 veces al dia,2 veces al dia,Nada,Nada,Nada,Nada,Raras veces,Muy poco,Regulamente consumo,Raras veces,Regulamente consumo,Regulamente consumo,Regulamente consumo,Lo que más consumo,Regulamente consumo,Muy poco,Nada,Raras veces,Nada,Lo que más consumo,Cara y consume mucho tiempo prepararla
4141577528,08/15/2015 19:40:42,08/15/2015 19:45:57,"Sí, algunos",Carbohidratos,Ocasionalmente,Generalmente,2 veces al dia,1 vez al dia,Regulamente consumo,Muy poco,Raras veces,Lo que más consumo,Nada,Regulamente consumo,Regulamente consumo,Regulamente consumo,Raras veces,Regulamente consumo,Muy poco,Raras veces,Muy poco,Regulamente consumo,Raras veces,Regulamente consumo,Raras veces,Raras veces,No lo he considerado
4141525787,08/15/2015 18:45:32,08/15/2015 18:48:36,"Sí, algunos",Hidratos de carbono (azucares),Ocasionalmente,Ocasionalmente,3 veces al dia,3 veces al dia,Lo que más consumo,Lo que más consumo,Nada,Raras veces,Nada,Muy poco,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Lo que más consumo,Raras veces,Regulamente consumo,Muy poco,Regulamente consumo,"Barata, pero consume mucho tiempo prepararla"
4141435204,08/15/2015 17:10:36,08/15/2015 17:14:40,"Sí, la mayoria",Proteinas,Ocasionalmente,Generalmente,1 vez al dia,1 vez al dia,Lo que más consumo,Raras veces,Lo que más consumo,Muy poco,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Muy poco,Raras veces,Muy poco,Regulamente consumo,Raras veces,Regulamente consumo,Muy poco,Muy poco,Muy poco,Nada,"Barata, pero consume mucho tiempo prepararla"
4141207078,08/15/2015 13:29:43,08/15/2015 13:34:26,"Sí, la mayoria",Carbohidratos,Generalmente,Ocasionalmente,2 veces al dia,2 veces al dia,Regulamente consumo,Regulamente consumo,Raras veces,Nada,Nada,Muy poco,Regulamente consumo,Raras veces,Raras veces,Muy poco,Regulamente consumo,Regulamente consumo,Raras veces,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Nada,"Cara, pero no consume mucho tiempo prepararla"
4141007340,08/15/2015 09:23:13,08/15/2015 09:25:24,"Sí, la mayoria",Carbohidratos,Generalmente,Generalmente,Más de 3 veces al dia,Más de 3 veces al dia,Lo que más consumo,Raras veces,Raras veces,Muy poco,Nada,Lo que más consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Raras veces,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Muy poco,Nada,Barata y es fácil de prerarar
4140946334,08/15/2015 07:58:58,08/15/2015 08:00:54,"Sí, todos",Proteinas,Ocasionalmente,Ocasionalmente,3 veces al dia,2 veces al dia,Lo que más consumo,Nada,Nada,Lo que más consumo,Lo que más consumo,Regulamente consumo,Regulamente consumo,Muy poco,Regulamente consumo,Muy poco,Regulamente consumo,Muy poco,Raras veces,Regulamente consumo,Nada,Muy poco,Raras veces,Nada,"Barata, pero consume mucho tiempo prepararla"
4140942067,08/15/2015 07:52:49,08/15/2015 07:55:02,"Sí, la mayoria",Proteinas,Generalmente,Generalmente,3 veces al dia,1 vez al dia,Regulamente consumo,Nada,Lo que más consumo,Raras veces,Raras veces,Muy poco,Regulamente consumo,Nada,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Raras veces,Raras veces,Raras veces,Muy poco,Regulamente consumo,"Cara, pero no consume mucho tiempo prepararla"
4140818091,08/15/2015 04:51:27,08/15/2015 04:55:35,"Sí, la mayoria",Carbohidratos,Generalmente,Generalmente,2 veces al dia,1 vez al dia,Regulamente consumo,Muy poco,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Muy poco,Muy poco,Muy poco,Raras veces,Raras veces,Raras veces,Muy poco,Raras veces,Nada,"Cara, pero no consume mucho tiempo prepararla"
4140778826,08/15/2015 03:56:42,08/15/2015 03:59:41,"Sí, la mayoria",Carbohidratos,Generalmente,Pocas veces,1 vez al dia,2 veces al dia,Regulamente consumo,Nada,Lo que más consumo,Regulamente consumo,Raras veces,Raras veces,Raras veces,Raras veces,Muy poco,Raras veces,Raras veces,Lo que más consumo,Lo que más consumo,Lo que más consumo,Raras veces,Raras veces,Muy poco,Regulamente consumo,Cara y consume mucho tiempo prepararla
4140775703,08/15/2015 03:52:34,08/15/2015 03:56:19,"Sí, todos",Hidratos de carbono (azucares),Generalmente,Generalmente,Más de 3 veces al dia,2 veces al dia,Regulamente consumo,Raras veces,Regulamente consumo,Raras veces,Raras veces,Lo que más consumo,Lo que más consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Lo que más consumo,Muy poco,Muy poco,Regulamente consumo,Lo que más consumo,Barata y es fácil de prerarar
4140774886,08/15/2015 03:51:44,08/15/2015 03:55:01,"Sí, la mayoria",Carbohidratos,Generalmente,Generalmente,2 veces al dia,2 veces al dia,Regulamente consumo,Raras veces,Raras veces,Regulamente consumo,Nada,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Raras veces,Muy poco,Muy poco,Nada,Barata y es fácil de prerarar
4140768508,08/15/2015 03:40:55,08/15/2015 03:56:21,"Sí, todos",Carbohidratos,Generalmente,Ocasionalmente,2 veces al dia,3 veces al dia,Lo que más consumo,Lo que más consumo,Regulamente consumo,Raras veces,Nada,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Raras veces,Raras veces,Raras veces,Nada,Barata y es fácil de prerarar
4140719518,08/15/2015 02:29:01,08/15/2015 02:35:14,"Sí, la mayoria",Hidratos de carbono (azucares),Ocasionalmente,Generalmente,1 vez al dia,1 vez al dia,Lo que más consumo,Nada,Regulamente consumo,Nada,Nada,Regulamente consumo,Regulamente consumo,Raras veces,Nada,Nada,Regulamente consumo,Regulamente consumo,Nada,Lo que más consumo,Nada,Regulamente consumo,Regulamente consumo,Nada,Cara y consume mucho tiempo prepararla
4140716208,08/15/2015 02:25:05,08/15/2015 02:27:39,"Sí, todos",Carbohidratos,Generalmente,Generalmente,3 veces al dia,2 veces al dia,Lo que más consumo,Nada,Raras veces,Muy poco,Nada,Lo que más consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Lo que más consumo,Raras veces,Lo que más consumo,Raras veces,Nada,"Barata, pero consume mucho tiempo prepararla"
4140649571,08/15/2015 00:55:38,08/15/2015 00:59:18,"Sí, la mayoria",Carbohidratos,Generalmente,Ocasionalmente,3 veces al dia,2 veces al dia,Regulamente consumo,Regulamente consumo,Raras veces,Lo que más consumo,Raras veces,Regulamente consumo,Lo que más consumo,Regulamente consumo,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Regulamente consumo,Raras veces,No lo he considerado
4140639234,08/15/2015 00:43:49,08/15/2015 00:44:49,"Sí, la mayoria",Carbohidratos,Ocasionalmente,Generalmente,2 veces al dia,2 veces al dia,,,,,,,,,,,,,,,,,,,
4140629108,08/15/2015 00:30:59,08/15/2015 00:33:50,"Sí, todos",Proteinas,Pocas veces,Pocas veces,Más de 3 veces al dia,1 vez al dia,Regulamente consumo,Regulamente consumo,Lo que más consumo,Muy poco,Regulamente consumo,Regulamente consumo,Lo que más consumo,Muy poco,Regulamente consumo,Regulamente consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Muy poco,Nada,Muy poco,Regulamente consumo,Nada,Cara y consume mucho tiempo prepararla
4140602320,08/14/2015 23:57:29,08/15/2015 00:04:27,"Sí, todos",Hidratos de carbono (azucares),Generalmente,Generalmente,3 veces al dia,3 veces al dia,Lo que más consumo,Muy poco,Lo que más consumo,Regulamente consumo,Raras veces,Muy poco,Lo que más consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Lo que más consumo,Lo que más consumo,Regulamente consumo,Lo que más consumo,Raras veces,Muy poco,Muy poco,Nada,Barata y es fácil de prerarar
4140591518,08/14/2015 23:43:32,08/14/2015 23:47:08,"Sí, la mayoria",Carbohidratos,Generalmente,Generalmente,2 veces al dia,2 veces al dia,Lo que más consumo,Nada,Lo que más consumo,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Raras veces,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Muy poco,Raras veces,"Barata, pero consume mucho tiempo prepararla"
4140585883,08/14/2015 23:38:00,08/14/2015 23:46:18,"Sí, la mayoria",Carbohidratos,Generalmente,Generalmente,3 veces al dia,2 veces al dia,Regulamente consumo,Nada,Regulamente consumo,Nada,Lo que más consumo,Regulamente consumo,Regulamente consumo,Muy poco,Muy poco,Muy poco,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Raras veces,Raras veces,Muy poco,Nada,Cara y consume mucho tiempo prepararla
4140579451,08/14/2015 23:30:44,08/14/2015 23:35:10,"Sí, la mayoria",Proteinas,Generalmente,Generalmente,3 veces al dia,2 veces al dia,Lo que más consumo,Muy poco,Muy poco,Nada,Nada,Muy poco,Lo que más consumo,Nada,Regulamente consumo,Regulamente consumo,Lo que más consumo,Lo que más consumo,Lo que más consumo,Raras veces,Raras veces,Raras veces,Nada,Lo que más consumo,"Barata, pero consume mucho tiempo prepararla"
4140569315,08/14/2015 23:20:07,08/14/2015 23:22:40,"Sí, todos",Hidratos de carbono (azucares),Ocasionalmente,Ocasionalmente,Más de 3 veces al dia,1 vez al dia,Raras veces,Nada,Lo que más consumo,Regulamente consumo,Nada,Regulamente consumo,Regulamente consumo,Raras veces,Muy poco,Regulamente consumo,Raras veces,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Regulamente consumo,Lo que más consumo,Raras veces,"Cara, pero no consume mucho tiempo prepararla"
4140543365,08/14/2015 22:53:23,08/14/2015 22:57:11,"Sí, todos",Carbohidratos,Generalmente,Ocasionalmente,2 veces al dia,2 veces al dia,Regulamente consumo,Nada,Raras veces,Raras veces,Raras veces,Regulamente consumo,Regulamente consumo,Regulamente consumo,Nada,Muy poco,Regulamente consumo,Muy poco,Muy poco,Lo que más consumo,Raras veces,Muy poco,Regulamente consumo,Nada,"Cara, pero no consume mucho tiempo prepararla"
4140534288,08/14/2015 22:44:35,08/14/2015 23:05:37,"Sí, la mayoria",Carbohidratos,Ocasionalmente,Ocasionalmente,1 vez al dia,1 vez al dia,Regulamente consumo,Regulamente consumo,Regulamente consumo,Muy poco,Nada,Nada,Nada,Nada,Muy poco,Regulamente consumo,Muy poco,Regulamente consumo,Lo que más consumo,Lo que más consumo,Muy poco,Nada,Regulamente consumo,Nada,No lo he considerado
4140531131,08/14/2015 22:41:45,08/14/2015 22:42:58,"Sí, todos",Hidratos de carbono (azucares),Ocasionalmente,Ocasionalmente,1 vez al dia,1 vez al dia,,,,,,,,,,,,,,,,,,,
4140530926,08/14/2015 22:41:30,08/14/2015 22:43:30,"Sí, algunos",Hidratos de carbono (azucares),Pocas veces,Pocas veces,1 vez al dia,1 vez al dia,Regulamente consumo,Nada,Lo que más consumo,Regulamente consumo,Nada,Regulamente consumo,Nada,Regulamente consumo,Muy poco,Nada,Raras veces,Raras veces,Raras veces,Regulamente consumo,Lo que más consumo,Lo que más consumo,Muy poco,Nada,"Barata, pero consume mucho tiempo prepararla"
4140514151,08/14/2015 22:25:59,08/14/2015 22:28:07,"Sí, algunos",Hidratos de carbono (azucares),Ocasionalmente,Ocasionalmente,Más de 3 veces al dia,2 veces al dia,,,,,,,,,,,,,,,,,,,
